2026-01-16 18:45:08 | DAEMON_START | DAEMON
2026-01-17 04:49:43 | STOP (ERROR: mat1 and mat2 shapes cannot be multiplied (1000x5 ) | signal_N2_5percent_Claude.yaml
2026-01-17 04:53:05 | START | signal_N2_5percent_Claude.yaml
2026-01-17 04:54:34 | STOP (ERROR: mat1 and mat2 shapes cannot be multiplied (1000x5 ) | signal_N2_5percent_Claude.yaml
2026-01-17 04:58:06 | START | signal_N2_5percent_Claude.yaml
2026-01-17 04:59:47 | STOP (ERROR: mat1 and mat2 shapes cannot be multiplied (1000x5 ) | signal_N2_5percent_Claude.yaml
2026-01-17 05:03:08 | START | signal_N2_5percent_Claude.yaml
2026-01-17 05:04:51 | STOP (ERROR: mat1 and mat2 shapes cannot be multiplied (1000x5 ) | signal_N2_5percent_Claude.yaml
2026-01-17 05:08:12 | START | signal_N2_5percent_Claude.yaml
2026-01-17 05:09:40 | STOP (ERROR: mat1 and mat2 shapes cannot be multiplied (1000x5 ) | signal_N2_5percent_Claude.yaml
2026-01-17 05:13:12 | START | signal_N2_5percent_Claude.yaml
2026-01-17 05:14:54 | STOP (ERROR: mat1 and mat2 shapes cannot be multiplied (1000x5 ) | signal_N2_5percent_Claude.yaml
2026-01-17 05:18:16 | START | signal_N2_5percent_Claude.yaml
2026-01-17 05:19:52 | STOP (ERROR: mat1 and mat2 shapes cannot be multiplied (1000x5 ) | signal_N2_5percent_Claude.yaml
2026-01-17 05:23:14 | START | signal_N2_5percent_Claude.yaml
2026-01-17 05:24:52 | STOP (ERROR: mat1 and mat2 shapes cannot be multiplied (1000x5 ) | signal_N2_5percent_Claude.yaml
2026-01-17 05:28:19 | START | signal_N2_5percent_Claude.yaml
2026-01-17 05:30:01 | STOP (ERROR: mat1 and mat2 shapes cannot be multiplied (1000x5 ) | signal_N2_5percent_Claude.yaml
2026-01-17 05:33:24 | START | signal_N2_5percent_Claude.yaml
2026-01-17 05:35:05 | STOP (ERROR: mat1 and mat2 shapes cannot be multiplied (1000x5 ) | signal_N2_5percent_Claude.yaml
2026-01-17 05:38:27 | START | signal_N2_5percent_Claude.yaml
2026-01-17 05:39:57 | STOP (ERROR: mat1 and mat2 shapes cannot be multiplied (1000x5 ) | signal_N2_5percent_Claude.yaml
2026-01-17 05:43:29 | START | signal_N2_5percent_Claude.yaml
2026-01-17 05:45:07 | STOP (ERROR: mat1 and mat2 shapes cannot be multiplied (1000x5 ) | signal_N2_5percent_Claude.yaml
2026-01-17 05:48:29 | START | signal_N2_5percent_Claude.yaml
2026-01-17 05:49:58 | STOP (ERROR: mat1 and mat2 shapes cannot be multiplied (1000x5 ) | signal_N2_5percent_Claude.yaml
2026-01-17 05:53:31 | START | signal_N2_5percent_Claude.yaml
2026-01-17 05:55:00 | STOP (ERROR: mat1 and mat2 shapes cannot be multiplied (1000x5 ) | signal_N2_5percent_Claude.yaml
2026-01-17 05:58:32 | START | signal_N2_5percent_Claude.yaml
2026-01-17 06:00:02 | STOP (ERROR: mat1 and mat2 shapes cannot be multiplied (1000x5 ) | signal_N2_5percent_Claude.yaml
2026-01-17 06:03:35 | START | signal_N2_5percent_Claude.yaml
2026-01-17 06:05:05 | STOP (ERROR: mat1 and mat2 shapes cannot be multiplied (1000x5 ) | signal_N2_5percent_Claude.yaml
2026-01-17 06:08:37 | START | signal_N2_5percent_Claude.yaml
2026-01-17 06:10:07 | STOP (ERROR: mat1 and mat2 shapes cannot be multiplied (1000x5 ) | signal_N2_5percent_Claude.yaml
2026-01-17 06:13:39 | START | signal_N2_5percent_Claude.yaml
2026-01-17 06:15:09 | STOP (ERROR: mat1 and mat2 shapes cannot be multiplied (1000x5 ) | signal_N2_5percent_Claude.yaml
2026-01-17 06:18:42 | START | signal_N2_5percent_Claude.yaml
2026-01-17 06:20:11 | STOP (ERROR: mat1 and mat2 shapes cannot be multiplied (1000x5 ) | signal_N2_5percent_Claude.yaml
2026-01-17 06:23:44 | START | signal_N2_5percent_Claude.yaml
2026-01-17 06:25:18 | STOP (ERROR: mat1 and mat2 shapes cannot be multiplied (1000x5 ) | signal_N2_5percent_Claude.yaml
2026-01-17 06:28:47 | START | signal_N2_5percent_Claude.yaml
2026-01-17 06:30:18 | STOP (ERROR: mat1 and mat2 shapes cannot be multiplied (1000x5 ) | signal_N2_5percent_Claude.yaml
2026-01-17 06:33:51 | START | signal_N2_5percent_Claude.yaml
2026-01-17 06:35:22 | STOP (ERROR: mat1 and mat2 shapes cannot be multiplied (1000x5 ) | signal_N2_5percent_Claude.yaml
2026-01-17 06:38:53 | START | signal_N2_5percent_Claude.yaml
2026-01-17 06:40:29 | STOP (ERROR: mat1 and mat2 shapes cannot be multiplied (1000x5 ) | signal_N2_5percent_Claude.yaml
2026-01-17 06:43:51 | START | signal_N2_5percent_Claude.yaml
2026-01-17 06:45:21 | STOP (ERROR: mat1 and mat2 shapes cannot be multiplied (1000x5 ) | signal_N2_5percent_Claude.yaml
2026-01-17 06:48:54 | START | signal_N2_5percent_Claude.yaml
2026-01-17 06:50:28 | STOP (ERROR: mat1 and mat2 shapes cannot be multiplied (1000x5 ) | signal_N2_5percent_Claude.yaml
2026-01-17 06:53:57 | START | signal_N2_5percent_Claude.yaml
2026-01-17 06:55:27 | STOP (ERROR: mat1 and mat2 shapes cannot be multiplied (1000x5 ) | signal_N2_5percent_Claude.yaml
2026-01-17 06:59:00 | START | signal_N2_5percent_Claude.yaml
2026-01-17 07:00:31 | STOP (ERROR: mat1 and mat2 shapes cannot be multiplied (1000x5 ) | signal_N2_5percent_Claude.yaml
2026-01-17 07:04:03 | START | signal_N2_5percent_Claude.yaml
2026-01-17 07:05:36 | STOP (ERROR: mat1 and mat2 shapes cannot be multiplied (1000x5 ) | signal_N2_5percent_Claude.yaml
2026-01-17 07:08:58 | START | signal_N2_5percent_Claude.yaml
2026-01-17 07:10:34 | STOP (ERROR: mat1 and mat2 shapes cannot be multiplied (1000x5 ) | signal_N2_5percent_Claude.yaml
2026-01-17 07:14:06 | START | signal_N2_5percent_Claude.yaml
2026-01-17 07:15:45 | STOP (ERROR: mat1 and mat2 shapes cannot be multiplied (1000x5 ) | signal_N2_5percent_Claude.yaml
2026-01-17 07:19:08 | START | signal_N2_5percent_Claude.yaml
2026-01-17 07:20:47 | STOP (ERROR: mat1 and mat2 shapes cannot be multiplied (1000x5 ) | signal_N2_5percent_Claude.yaml
2026-01-17 07:24:09 | START | signal_N2_5percent_Claude.yaml
2026-01-17 07:25:43 | STOP (ERROR: mat1 and mat2 shapes cannot be multiplied (1000x5 ) | signal_N2_5percent_Claude.yaml
2026-01-17 07:29:13 | START | signal_N2_5percent_Claude.yaml
2026-01-17 07:30:49 | STOP (ERROR: mat1 and mat2 shapes cannot be multiplied (1000x5 ) | signal_N2_5percent_Claude.yaml
2026-01-17 07:34:11 | START | signal_N2_5percent_Claude.yaml
2026-01-17 07:35:51 | STOP (ERROR: mat1 and mat2 shapes cannot be multiplied (1000x5 ) | signal_N2_5percent_Claude.yaml
2026-01-17 07:39:13 | START | signal_N2_5percent_Claude.yaml
2026-01-17 07:40:44 | STOP (ERROR: mat1 and mat2 shapes cannot be multiplied (1000x5 ) | signal_N2_5percent_Claude.yaml
2026-01-17 07:44:16 | START | signal_N2_5percent_Claude.yaml
2026-01-17 07:45:47 | STOP (ERROR: mat1 and mat2 shapes cannot be multiplied (1000x5 ) | signal_N2_5percent_Claude.yaml
2026-01-17 07:49:19 | START | signal_N2_5percent_Claude.yaml
2026-01-17 07:50:58 | STOP (ERROR: mat1 and mat2 shapes cannot be multiplied (1000x5 ) | signal_N2_5percent_Claude.yaml
2026-01-17 07:54:20 | START | signal_N2_5percent_Claude.yaml
2026-01-17 07:55:50 | STOP (ERROR: mat1 and mat2 shapes cannot be multiplied (1000x5 ) | signal_N2_5percent_Claude.yaml
2026-01-17 07:59:22 | START | signal_N2_5percent_Claude.yaml
2026-01-17 08:00:51 | STOP (ERROR: mat1 and mat2 shapes cannot be multiplied (1000x5 ) | signal_N2_5percent_Claude.yaml
2026-01-17 08:04:23 | START | signal_N2_5percent_Claude.yaml
2026-01-17 08:05:13 | DAEMON_STOP | DAEMON
2026-01-17 08:40:55 | DAEMON_START | DAEMON
2026-01-17 08:42:17 | START | signal_chaotic_1_Claude.yaml
2026-01-17 08:46:50 | DAEMON_START | DAEMON
2026-01-17 08:49:13 | START | signal_N2_sparsity_Claude.yaml
2026-01-17 08:51:01 | DAEMON_STOP | DAEMON
2026-01-17 08:52:11 | DAEMON_START | DAEMON
2026-01-17 08:52:53 | START | signal_N2_sparsity_Claude.yaml
2026-01-17 08:56:21 | DAEMON_STOP | DAEMON
2026-01-17 09:01:50 | DAEMON_START | DAEMON
2026-01-17 09:01:52 | START | signal_N2_sparsity_Claude.yaml
2026-01-17 09:02:01 | DAEMON_STOP | DAEMON
2026-01-17 09:02:41 | DAEMON_START | DAEMON
2026-01-17 09:05:43 | START | signal_N2_sparsity_Claude.yaml
2026-01-17 09:13:13 | DAEMON_START | DAEMON
2026-01-17 09:15:09 | DAEMON_STOP | DAEMON
2026-01-17 09:16:08 | DAEMON_STOP | DAEMON
2026-01-17 09:16:55 | DAEMON_START | DAEMON
2026-01-17 09:16:59 | DAEMON_START | DAEMON
2026-01-17 09:17:37 | START | signal_chaotic_2_Claude.yaml
2026-01-17 09:17:41 | START | signal_N2_sparsity_Claude.yaml
2026-01-17 09:23:01 | STOP (SUCCESS) | signal_chaotic_2_Claude.yaml
2026-01-17 09:24:45 | DAEMON_STOP | DAEMON
2026-01-17 09:28:24 | DAEMON_START | DAEMON
2026-01-17 09:28:26 | START | signal_chaotic_2_Claude.yaml
2026-01-17 09:28:49 | DAEMON_STOP | DAEMON
2026-01-17 09:29:29 | DAEMON_START | DAEMON
2026-01-17 09:30:21 | START | signal_chaotic_2_Claude.yaml
2026-01-17 09:35:44 | STOP (SUCCESS) | signal_chaotic_2_Claude.yaml
2026-01-17 09:35:54 | STOP (SUCCESS) | signal_chaotic_1_Claude.yaml
2026-01-17 09:39:26 | START | signal_chaotic_1_Claude.yaml
2026-01-17 09:39:26 | START | signal_chaotic_1_Claude.yaml
2026-01-17 09:39:26 | STOP (ERROR: [Errno 2] No such file or directory: './graphs_dat) | signal_chaotic_1_Claude.yaml
2026-01-17 09:39:47 | DAEMON_STOP | DAEMON
2026-01-17 09:44:05 | DAEMON_START | DAEMON
2026-01-17 09:44:29 | DAEMON_STOP | DAEMON
2026-01-17 09:44:48 | START | signal_chaotic_2_Claude.yaml
2026-01-17 09:50:09 | STOP (SUCCESS) | signal_chaotic_2_Claude.yaml
2026-01-17 09:50:53 | DAEMON_STOP | DAEMON
2026-01-17 09:50:56 | DAEMON_STOP | DAEMON
2026-01-17 09:56:45 | DAEMON_START | DAEMON
2026-01-17 09:56:49 | DAEMON_START | DAEMON
2026-01-17 09:56:49 | DAEMON_START | DAEMON
2026-01-17 09:57:41 | START | signal_chaotic_1_Claude.yaml
2026-01-17 09:57:48 | START | signal_chaotic_2_Claude.yaml
2026-01-17 09:57:53 | START | signal_N2_sparsity_Claude.yaml
2026-01-17 10:00:24 | DAEMON_STOP | DAEMON
2026-01-17 10:00:26 | DAEMON_STOP | DAEMON
2026-01-17 10:00:27 | DAEMON_STOP | DAEMON
2026-01-17 10:13:10 | DAEMON_START | signal_chaotic_1_Claude.yaml
2026-01-17 10:13:11 | DAEMON_START | signal_chaotic_2_Claude.yaml
2026-01-17 10:13:11 | DAEMON_START | signal_sparsity_Claude.yaml
2026-01-17 10:14:13 | START | signal_chaotic_2_Claude.yaml
2026-01-17 10:14:42 | START | signal_chaotic_1_Claude.yaml
2026-01-17 10:16:38 | DAEMON_STOP | signal_sparsity_Claude.yaml
2026-01-17 10:16:58 | DAEMON_START | signal_N2_sparsity_Claude.yaml
2026-01-17 10:17:00 | START | signal_N2_sparsity_Claude.yaml
2026-01-17 10:19:36 | STOP (SUCCESS) | signal_chaotic_2_Claude.yaml
2026-01-17 10:31:00 | DAEMON_STOP | signal_chaotic_1_Claude.yaml
2026-01-17 10:31:01 | DAEMON_STOP | signal_chaotic_2_Claude.yaml
2026-01-17 10:31:02 | DAEMON_STOP | signal_N2_sparsity_Claude.yaml
2026-01-17 10:32:02 | DAEMON_START | signal_chaotic_1_Claude.yaml
2026-01-17 10:32:03 | DAEMON_START | signal_N2_sparsity_Claude.yaml
2026-01-17 10:32:03 | DAEMON_START | signal_chaotic_2_Claude.yaml
2026-01-17 10:33:06 | START | signal_chaotic_2_Claude.yaml
2026-01-17 10:33:06 | START | signal_N2_sparsity_Claude.yaml
2026-01-17 10:33:32 | DAEMON_STOP | signal_chaotic_1_Claude.yaml
2026-01-17 10:34:04 | DAEMON_START | signal_chaotic_1_Claude.yaml
2026-01-17 10:34:06 | START | signal_chaotic_1_Claude.yaml
2026-01-17 10:38:26 | STOP (SUCCESS) | signal_chaotic_2_Claude.yaml
2026-01-17 10:44:08 | START | signal_chaotic_2_Claude.yaml
2026-01-17 10:49:23 | STOP (SUCCESS) | signal_chaotic_2_Claude.yaml
2026-01-17 10:56:35 | START | signal_chaotic_2_Claude.yaml
2026-01-17 11:01:51 | STOP (SUCCESS) | signal_chaotic_2_Claude.yaml
2026-01-17 11:07:04 | START | signal_chaotic_2_Claude.yaml
2026-01-17 11:10:58 | STOP (SUCCESS) | signal_N2_sparsity_Claude.yaml
2026-01-17 11:12:14 | STOP (SUCCESS) | signal_chaotic_2_Claude.yaml
2026-01-17 11:14:30 | START | signal_N2_sparsity_Claude.yaml
2026-01-17 11:19:07 | START | signal_chaotic_2_Claude.yaml
2026-01-17 11:24:12 | STOP (SUCCESS) | signal_chaotic_2_Claude.yaml
2026-01-17 11:28:10 | STOP (SUCCESS) | signal_chaotic_1_Claude.yaml
2026-01-17 11:30:24 | START | signal_chaotic_2_Claude.yaml
2026-01-17 11:35:45 | STOP (SUCCESS) | signal_chaotic_2_Claude.yaml
2026-01-17 11:35:52 | START | signal_chaotic_1_Claude.yaml
2026-01-17 11:41:28 | START | signal_chaotic_2_Claude.yaml
2026-01-17 11:46:48 | STOP (SUCCESS) | signal_chaotic_2_Claude.yaml
2026-01-17 11:52:01 | START | signal_chaotic_2_Claude.yaml
2026-01-17 11:52:20 | STOP (SUCCESS) | signal_N2_sparsity_Claude.yaml
2026-01-17 11:56:02 | START | signal_N2_sparsity_Claude.yaml
2026-01-17 11:57:22 | STOP (SUCCESS) | signal_chaotic_2_Claude.yaml
2026-01-17 12:03:34 | START | signal_chaotic_2_Claude.yaml
2026-01-17 12:08:37 | STOP (SUCCESS) | signal_chaotic_2_Claude.yaml
2026-01-17 12:14:50 | START | signal_chaotic_2_Claude.yaml
2026-01-17 12:19:54 | STOP (SUCCESS) | signal_chaotic_2_Claude.yaml
2026-01-17 12:26:07 | START | signal_chaotic_2_Claude.yaml
2026-01-17 12:29:26 | STOP (SUCCESS) | signal_chaotic_1_Claude.yaml
2026-01-17 12:31:12 | STOP (SUCCESS) | signal_chaotic_2_Claude.yaml
2026-01-17 12:33:24 | STOP (SUCCESS) | signal_N2_sparsity_Claude.yaml
2026-01-17 12:36:36 | START | signal_N2_sparsity_Claude.yaml
2026-01-17 12:37:15 | START | signal_chaotic_2_Claude.yaml
2026-01-17 12:37:38 | START | signal_chaotic_1_Claude.yaml
2026-01-17 12:42:20 | STOP (SUCCESS) | signal_chaotic_2_Claude.yaml
2026-01-17 12:48:02 | START | signal_chaotic_2_Claude.yaml
2026-01-17 12:53:07 | STOP (SUCCESS) | signal_chaotic_2_Claude.yaml
2026-01-17 13:00:19 | START | signal_chaotic_2_Claude.yaml
2026-01-17 13:04:53 | STOP (SUCCESS) | signal_chaotic_2_Claude.yaml
2026-01-17 13:11:05 | START | signal_chaotic_2_Claude.yaml
2026-01-17 13:13:48 | STOP (SUCCESS) | signal_N2_sparsity_Claude.yaml
2026-01-17 13:15:24 | STOP (SUCCESS) | signal_chaotic_2_Claude.yaml
2026-01-17 13:17:36 | START | signal_chaotic_2_Claude.yaml
2026-01-17 13:17:40 | START | signal_N2_sparsity_Claude.yaml
2026-01-17 13:22:58 | STOP (SUCCESS) | signal_chaotic_2_Claude.yaml
2026-01-17 13:29:10 | START | signal_chaotic_2_Claude.yaml
2026-01-17 13:31:19 | STOP (SUCCESS) | signal_chaotic_1_Claude.yaml
2026-01-17 13:34:31 | STOP (SUCCESS) | signal_chaotic_2_Claude.yaml
2026-01-17 13:35:02 | START | signal_chaotic_1_Claude.yaml
2026-01-17 13:39:43 | START | signal_chaotic_2_Claude.yaml
2026-01-17 13:45:04 | STOP (SUCCESS) | signal_chaotic_2_Claude.yaml
2026-01-17 13:51:17 | START | signal_chaotic_2_Claude.yaml
2026-01-17 13:54:53 | STOP (SUCCESS) | signal_N2_sparsity_Claude.yaml
2026-01-17 13:56:39 | STOP (SUCCESS) | signal_chaotic_2_Claude.yaml
2026-01-17 13:58:55 | START | signal_N2_sparsity_Claude.yaml
2026-01-17 14:02:31 | START | signal_chaotic_2_Claude.yaml
2026-01-17 14:07:36 | STOP (SUCCESS) | signal_chaotic_2_Claude.yaml
2026-01-17 14:12:49 | START | signal_chaotic_2_Claude.yaml
2026-01-17 14:17:54 | STOP (SUCCESS) | signal_chaotic_2_Claude.yaml
2026-01-17 14:24:06 | START | signal_chaotic_2_Claude.yaml
2026-01-17 14:28:31 | STOP (SUCCESS) | signal_chaotic_1_Claude.yaml
2026-01-17 14:29:11 | STOP (SUCCESS) | signal_chaotic_2_Claude.yaml
2026-01-17 14:32:13 | START | signal_chaotic_1_Claude.yaml
2026-01-17 14:34:54 | START | signal_chaotic_2_Claude.yaml
2026-01-17 14:36:11 | STOP (SUCCESS) | signal_N2_sparsity_Claude.yaml
2026-01-17 14:40:01 | STOP (SUCCESS) | signal_chaotic_2_Claude.yaml
2026-01-17 14:40:13 | START | signal_N2_sparsity_Claude.yaml
2026-01-17 14:45:53 | START | signal_chaotic_2_Claude.yaml
2026-01-17 14:50:59 | STOP (SUCCESS) | signal_chaotic_2_Claude.yaml
2026-01-17 14:57:11 | START | signal_chaotic_2_Claude.yaml
2026-01-17 15:02:17 | STOP (SUCCESS) | signal_chaotic_2_Claude.yaml
2026-01-17 15:10:30 | START | signal_chaotic_2_Claude.yaml
2026-01-17 15:15:42 | STOP (SUCCESS) | signal_chaotic_2_Claude.yaml
2026-01-17 15:17:29 | STOP (SUCCESS) | signal_N2_sparsity_Claude.yaml
2026-01-17 15:21:41 | START | signal_N2_sparsity_Claude.yaml
2026-01-17 15:21:44 | START | signal_chaotic_2_Claude.yaml
2026-01-17 15:26:04 | STOP (SUCCESS) | signal_chaotic_1_Claude.yaml
2026-01-17 15:26:56 | STOP (SUCCESS) | signal_chaotic_2_Claude.yaml
2026-01-17 15:32:08 | START | signal_chaotic_2_Claude.yaml
2026-01-17 15:34:16 | START | signal_chaotic_1_Claude.yaml
2026-01-17 15:37:18 | STOP (SUCCESS) | signal_chaotic_2_Claude.yaml
2026-01-17 15:43:00 | START | signal_chaotic_2_Claude.yaml
2026-01-17 15:48:10 | STOP (SUCCESS) | signal_chaotic_2_Claude.yaml
2026-01-17 15:54:23 | START | signal_chaotic_2_Claude.yaml
2026-01-17 15:58:57 | STOP (SUCCESS) | signal_N2_sparsity_Claude.yaml
2026-01-17 15:59:33 | STOP (SUCCESS) | signal_chaotic_2_Claude.yaml
2026-01-17 16:03:49 | START | signal_N2_sparsity_Claude.yaml
2026-01-17 16:05:26 | START | signal_chaotic_2_Claude.yaml
2026-01-17 16:10:50 | STOP (SUCCESS) | signal_chaotic_2_Claude.yaml
2026-01-17 16:16:03 | START | signal_chaotic_2_Claude.yaml
2026-01-17 16:21:13 | STOP (SUCCESS) | signal_chaotic_2_Claude.yaml
2026-01-17 16:26:25 | START | signal_chaotic_2_Claude.yaml
2026-01-17 16:28:04 | STOP (SUCCESS) | signal_chaotic_1_Claude.yaml
2026-01-17 16:31:34 | STOP (SUCCESS) | signal_chaotic_2_Claude.yaml
2026-01-17 16:35:58 | STOP (SUCCESS) | signal_N2_sparsity_Claude.yaml
2026-01-17 16:37:17 | START | signal_chaotic_2_Claude.yaml
2026-01-17 16:37:47 | START | signal_chaotic_1_Claude.yaml
2026-01-17 16:40:20 | START | signal_N2_sparsity_Claude.yaml
2026-01-17 16:42:27 | STOP (SUCCESS) | signal_chaotic_2_Claude.yaml
2026-01-17 16:48:40 | START | signal_chaotic_2_Claude.yaml
2026-01-17 16:53:52 | STOP (SUCCESS) | signal_chaotic_2_Claude.yaml
2026-01-17 17:00:04 | START | signal_chaotic_2_Claude.yaml
2026-01-17 17:05:16 | STOP (SUCCESS) | signal_chaotic_2_Claude.yaml
2026-01-17 17:10:28 | START | signal_chaotic_2_Claude.yaml
2026-01-17 17:12:30 | STOP (SUCCESS) | signal_N2_sparsity_Claude.yaml
2026-01-17 17:15:38 | STOP (SUCCESS) | signal_chaotic_2_Claude.yaml
2026-01-17 17:16:52 | START | signal_N2_sparsity_Claude.yaml
2026-01-17 17:21:31 | START | signal_chaotic_2_Claude.yaml
2026-01-17 17:26:41 | STOP (SUCCESS) | signal_chaotic_2_Claude.yaml
2026-01-17 17:30:37 | STOP (SUCCESS) | signal_chaotic_1_Claude.yaml
2026-01-17 17:32:54 | START | signal_chaotic_2_Claude.yaml
2026-01-17 17:34:19 | START | signal_chaotic_1_Claude.yaml
2026-01-17 17:38:02 | STOP (SUCCESS) | signal_chaotic_2_Claude.yaml
2026-01-17 17:43:45 | START | signal_chaotic_2_Claude.yaml
2026-01-17 17:48:20 | STOP (SUCCESS) | signal_N2_sparsity_Claude.yaml
2026-01-17 17:48:56 | STOP (SUCCESS) | signal_chaotic_2_Claude.yaml
